869 75684
533 774 33923
729 37 45283
588 400 19841
796 817 71654
464 647 11359
180 190 41966
217 350 46789
157 152 63100
756 797 33663
111 774 70310
503 46 88006
394 211 18681
62 450 64594
639 783 79498
355 107 20637
270 21 92706
188 224 62051
170 133 30401
262 642 89152
305 213 83970
694 511 77846
684 775 47756
777 294 61679
666 150 29276
626 819 25599
669 761 57262
556 282 86172
5 384 23221
236 561 37486
719 20 25582
123 19 48158
534 399 9904
449 523 98755
675 342 94214
679 118 60670
663 704 62474
816 864 7409
549 428 82880
388 79 56206
108 806 17838
228 215 64705
502 389 13724
76 444 74449
131 112 1902
390 203 59218
358 575 83105
439 394 46713
91 365 76785
40 530 69247
44 199 59121
567 432 43104
542 231 88876
285 573 87274
831 141 72198
580 741 8883
502 609 27286
721 782 54094
338 402 97474
376 862 32057
404 411 27860
555 464 50988
171 362 63698
81 79 61650
454 26 54930
796 722 26223
535 28 83350
330 513 52188
317 577 75584
220 321 81391
549 428 18067
180 307 73864
193 630 8136
508 110 60480
122 865 71232
250 42 22057
14 275 94572
59 117 55164
557 233 54773
472 235 82930
270 242 66565
841 486 88624
846 374 24711
413 109 23258
126 417 13897
415 70 42138
574 484 99121
365 232 31333
837 38 53109
588 205 36536
96 318 36736
179 79 38253
340 695 38358
155 421 75670
544 27 23148
758 93 39992
61 68 24365
239 188 80908
794 568 49778
113 17 67669
551 322 46112
222 31 32454
218 530 10395
311 387 52151
740 60 14876
525 350 95946
802 146 7217
32 397 52058
569 149 56885
341 224 19720
20 7 26972
403 465 92145
684 166 79140
24 171 56964
203 84 95845
478 530 28721
638 13 9926
370 611 53371
812 703 974
289 651 58756
714 589 13727
671 386 29223
795 48 25653
173 403 49031
525 586 75399
779 150 58035
524 592 94309
307 789 15596
23 407 68348
631 165 97268
639 818 30176
618 571 2750
538 592 86125
647 606 13771
342 118 29086
155 787 28151
610 806 73159
717 615 90
689 55 9072
548 301 89176
846 209 98053
581 322 38708
675 346 25866
609 337 35203
485 257 73090
166 199 69277
867 733 81261
174 430 70882
337 613 76012
301 179 57762
575 365 99653
114 671 96087
398 118 11049
817 211 82727
801 82 46537
799 256 34520
741 331 18273
66 722 96407
740 816 34431
183 254 82727
237 266 89125
638 382 46363
167 82 52531
396 550 94517
294 123 74624
340 693 94503
711 440 36521
134 158 7237
99 144 8977
69 384 44899
479 790 68238
314 510 54647
799 343 23457
31 716 50975
539 708 17864
848 452 86764
269 753 90228
185 834 3426
748 672 26632
28 541 93664
238 551 82323
328 3 4952
847 533 16775
770 72 40839
405 26 5707
48 869 2599
270 26 37189
662 397 94325
624 244 61466
348 1 38333
114 274 25122
41 369 25839
349 638 44990
678 379 18738
500 463 79296
718 520 68460
271 609 58011
231 671 36094
189 6 43300
257 39 8444
757 446 18286
455 577 28739
488 88 8294
356 610 60545
82 478 1991
676 178 19375
3 459 46124
266 142 36244
505 201 67260
651 284 17787
652 124 74489
759 723 7857
356 243 18605
373 855 57530
728 108 76322
223 346 27285
502 611 29327
244 760 90686
720 506 97129
864 851 44312
227 354 32150
31 590 67654
159 107 44531
718 113 92508
72 757 73621
356 420 17265
402 205 78207
760 180 35183
717 848 10790
31 36 97290
390 301 70498
381 365 82003
95 638 33044
868 655 44894
776 248 58072
480 797 5199
150 686 89359
709 413 62255
275 707 95574
497 525 67341
402 833 31155
17 856 50311
837 23 21751
564 69 76711
228 203 98622
784 859 95383
332 632 92454
824 369 75448
671 595 26686
364 818 47902
332 99 15689
510 844 51575
146 319 72923
496 680 51323
381 587 51373
737 535 25518
603 473 63819
726 310 67602
63 16 11028
585 456 4973
581 669 50731
386 818 66084
132 298 18768
546 397 17425
281 246 84124
862 359 53097
102 226 76497
703 172 84599
217 258 65340
837 343 76734
440 689 93118
523 858 61513
852 867 94751
658 607 96841
376 473 48930
453 625 45055
812 96 55555
479 215 46969
826 131 67094
823 796 10895
627 225 5336
41 670 9048
558 728 79620
831 160 37590
635 147 41404
746 251 60136
188 669 54939
842 360 53895
138 108 16448
519 54 889
266 429 97390
633 649 20214
476 453 37496
723 355 29423
15 338 10484
404 524 98768
407 171 75884
388 265 80979
667 504 79713
837 696 23311
465 556 81474
194 656 4007
545 574 97443
279 157 1363
450 756 4484
791 658 21448
860 260 72962
130 759 88365
502 302 31930
352 338 98969
797 253 37081
469 142 6300
651 654 61860
604 82 69442
768 472 1298
621 99 1315
182 177 36792
720 392 21757
742 503 15779
436 579 95265
264 570 30113
387 409 75233
81 204 73201
569 758 42491
137 868 65717
835 717 59437
818 272 27262
144 733 57394
262 221 29124
403 686 25902
358 709 28141
27 462 10874
544 773 7171
190 357 94736
122 738 54627
432 204 14811
360 561 4227
668 857 98219
125 255 44109
366 58 59181
223 344 66393
374 382 22011
314 144 18180
111 236 59529
126 158 91188
546 284 82728
742 90 27461
435 694 64800
398 139 85046
99 648 73611
247 178 45043
353 312 68357
815 318 88978
219 51 93256
534 295 22001
478 276 10266
428 191 55198
514 4 34828
628 423 70301
9 226 69048
310 36 37294
137 824 10109
154 423 23552
236 131 75688
342 764 25888
439 655 63898
725 162 71466
852 139 25455
191 261 41288
383 569 99736
501 276 21790
632 710 81247
721 13 62287
851 822 89174
834 452 40535
433 805 70478
5 429 14520
318 224 53665
383 800 61867
851 266 76740
15 413 17453
34 355 55026
861 413 99392
643 339 81028
662 527 3679
288 164 12101
601 847 94252
695 640 48130
353 455 92076
131 517 13660
518 191 83722
126 159 34402
816 211 31258
867 833 15673
418 416 71470
584 264 49955
221 281 72764
240 394 32935
596 651 15503
47 332 70365
836 44 98253
814 224 19600
848 142 38952
485 113 35654
57 4 68487
611 59 46817
497 657 24435
19 762 2019
667 379 97957
589 357 20826
322 685 47639
548 657 97894
512 792 90418
708 549 93016
715 286 42384
459 327 96078
798 495 96623
326 568 75137
636 778 55033
146 173 54801
585 662 43428
640 607 92837
383 108 98181
200 341 65588
49 19 4350
691 142 79852
716 696 26775
664 445 76788
500 584 47551
755 362 59984
65 364 25613
654 594 97022
249 599 48099
834 352 92907
98 545 88369
406 211 84672
295 51 95479
168 166 18741
710 484 46418
151 578 73357
180 198 95072
544 220 27711
479 548 67526
519 435 23011
227 439 5760
364 548 84715
78 787 6701
243 17 5997
216 369 54229
695 778 43490
282 140 87343
807 7 69138
550 533 61675
172 150 65426
582 287 49251
809 705 42520
780 28 82013
124 621 97898
234 632 38729
626 839 21328
381 514 64859
598 821 94486
811 456 20908
55 82 10124
869 704 9149
374 479 99885
361 568 98302
631 525 26609
229 754 288
415 301 66706
655 866 35852
677 607 29859
42 386 19050
19 52 30560
400 778 11861
490 299 88757
304 302 24330
736 536 41755
279 841 16028
271 717 35925
291 507 97115
852 374 60596
538 142 20025
346 252 23772
550 517 79558
76 676 28027
55 824 82990
209 752 2515
455 246 87876
30 848 55589
262 270 18233
19 318 37490
851 104 5182
709 172 16973
506 539 18440
334 825 9191
836 757 11128
75 809 3907
509 371 49207
577 692 76739
159 17 93636
124 262 72700
681 684 54132
399 328 26265
90 594 64684
464 721 67539
254 638 64836
553 833 46125
559 737 22063
487 59 9422
299 777 51812
729 152 13093
343 217 43493
148 861 42340
455 597 21159
636 403 39916
418 592 76686
789 647 35785
555 217 76475
497 338 87295
508 250 47523
451 652 99338
583 144 12551
145 654 53208
869 820 71804
588 829 15590
597 1 1776
764 134 43657
346 427 20223
187 472 88286
331 276 19231
237 519 87166
300 166 28690
773 112 95369
188 861 96921
45 156 38894
159 127 6415
303 825 42613
810 317 12092
606 820 29684
48 770 46282
484 195 29094
27 456 79232
66 866 7537
730 183 30793
639 810 76151
